S/No,Product Description,UoM,Max
263,Raincoat two-piece jacket with reflector without hood,set,155
264,Raincoat two-piece jacket without hood,set,183
265,Safety boots - leather with toe cap,Pair,790
266,Safety boots - leather without toe cap,Pair,464
267,Safety shoes - leather with toe cap,Pair,668
268,Safety shoes - leather without toe cap,Pair,586
269,Shirt - Ladies Smart Shirt,Each,344
270,Shirt - Mens Smart shirt,Each,406
271,Shoes - Ladies leather shoes,Pair,-
272,Shoes - Ladies Sneaker shoes,Pair,727
273,Shoes - Mens leather shoes,Pair,"1,474"
274,Shoes - Mens Sneaker shoes,Pair,944
275,Suit - Gents suit three piece,Each,"2,934"
276,Suit - Gents suit two piece,Each,"2,163"
277,Suit - Ladies smart corporate,Each,"2,190"
278,Tie - Bow tie,Each,251
279,Tie - Necktie,Each,186
280,Towels - Hand towels,Each,30
281,Towels - Kitchen/Tea towels,Each,37
282,T-shirt - Round Neck T-Shirt Short Sleeved (100% Cotton),Each,262
283,T-shirt -Golf T-shirt Short sleeved(100% Cotton),Each,310
284,Vest - Reflective Vest with ZIP and ID Pouch,Each,148
285,Work suit - Ordinary,Each,293
286,Work suit with reflective tape,Each,310
287,Extractor Fan - PVC - 10 inches (254mm),Each,"1,428"
288,Extractor Fan - PVC - 12 inches (305mm),Each,"1,486"
289,Extractor Fan - PVC - 14 inches (356mm),Each,"1,488"
290,Extractor Fan - Metal - 10 inches (254mm),Each,"1,421"
291,Extractor Fan - Metal - 12 inches (305mm),Each,"1,575"
292,Extractor Fan - Metal - 14 inches (356mm),Each,"1,705"
293,Extractor Fan - Metal - 16 inches (406mm),Each,"1,861"
294,Flood lights LED - 100 Watts,Each,"1,025"
295,Flood lights LED - 150 Watts,Each,"1,324"
296,Flood lights LED - 200 Watts,Each,"1,602"
297,Flood lights LED - 300 Watts,Each,"1,769"
298,Fluorescent Double Fitting - 2 ft (610mm),Each,398
299,Fluorescent Single Fitting - 2 ft (610mm),Each,230
300,Fluorescent Double Fitting - 4 ft (1219mm),Each,408
301,Fluorescent Single Fitting - 4 ft (1219mm),Each,-
302,Fluorescent Double LED Fitting - 2 ft (610mm),Each,179
303,Fluorescent Single LED Fitting - 2 ft (610mm),Each,224
304,Fluorescent Double LED Fitting - 4 ft (1219mm),Each,339
305,Fluorescent Single LED Fitting - 4 ft (1219mm),Each,227
306,Fluorescent LED tube - 2 ft (610mm),Each,-
307,Fluorescent LED tube - 4 ft (1219mm),Each,-
308,Fluorescent Ordinary tube - 2 ft (610mm),Each,59
309,Fluorescent Ordinary tube - 4 ft (1219mm),Each,68
310,Fluorescent Starter,Each,-
311,Fridge - Deep Freezer 195L,Each,"9,509"
312,Fridge - Deep Freezer 210L,Each,"9,893"
313,Fridge - Upright 157L,Each,"9,298"
314,Fridge - Upright 310L,Each,"14,662"
315,Generator - Diesel - 3KVA (3000w),Each,"24,365"
316,Generator - Diesel - 6.5KVA (6500w),Each,"38,279"
317,Generator - Diesel - 7.5KVA (7500w),Each,-
318,Generator - Diesel 3 Phase - 11KVA (11000w),Each,-
319,Generator - Petrol - 1KVA (1000w),Each,-
320,Generator - Petrol single phase - 4 Stroke - 5.5KVA,Each,"23,426"
321,Heater - Halogen heater (2 bar),Each,"1,045"
322,Heater - Radiant heater (2 bar),Each,"1,218"
323,Insulation Tape - 18mm x 9.15m,Each,-
324,Insulating Tape - 18mm x 20m,Each,40
325,Lightning arrestor,Each,104
326,Looping box - PVC 2 way,Each,-
327,Looping box - PVC 3 way,Each,-
328,Looping box - PVC 4 way,Each,-
329,Looping box cover - PVC,Each,1
330,Main Circuit Breaker (MCB) 5 Amp,Each,-
331,Main Circuit Breaker (MCB) 10 Amp,Each,-
332,Main Circuit Breaker (MCB) 20 Amp,Each,-
333,Main Circuit Breaker (MCB) 25 Amp,Each,-
334,Main Circuit Breaker (MCB) 30 Amp,Each,-
335,Main Circuit Breaker (MCB) 60 Amp,Each,-
336,Main Circuit Breaker (MCB) 80 Amp,Each,-
337,Main Circuit Breaker (MCB) 100 Amp,Each,-
338,Main Circuit Breaker (MCB) 150 Amp,Each,-
339,Main Circuit Breaker (MCB) 200 Amp,Each,-
340,Metre box,Each,-
341,Microwave 18 ltrs,Each,-
342,Microwave 20 ltrs,Each,-
343,Microwave 30 ltrs,Each,"5,151"
344,Microwave 18 ltrs - Digital,Each,-
345,Microwave 20 ltrs - Digital,Each,"3,722"
346,Microwave 30 ltrs - Digital,Each,-
347,Neutral bar,Each,-
348,Photo Cell 10A AC 105-135V,Each,-
349,Pressing Iron - Dry Iron,Each,560
350,Pressing Iron - Steam Iron,Each,940
351,Sanding machine 200w,Each,"1,760"
352,Sanding machine 300w,Each,"1,334"
353,Sanding machine 400w,Each,-
354,Screws - Self-taping (1/2) inch - 1kg,Each,-
355,Screws - Self-taping (3/4) inch - 1kg,Each,-
356,Screws - Self-taping (1) inch - 1kg,Each,-
357,Screws - Self-taping (1.5) inch - 1kg,Each,-
358,Socket - Single outlet - PVC,Each,59
359,Socket - Double outlet - PVC,Each,137
360,Socket - Single outlet - GI,Each,-
361,Socket - Double outlet - GI,Each,284
362,Solar Charge Controller 24V/20A 150w,Each,531
363,Battery - Solar gel Battery - 12V 100AH,Each,-
364,Battery - Solar gel Battery - 12V 150AH,Each,"6,049"
365,Battery - Solar gel Battery - 12V 200AH,Each,"8,971"
366,Battery - Solar Lithium ion Battery 24V/150AH,Each,"17,825"
367,Battery - Solar Lithium ion Battery 24V/200AH,Each,"30,268"
368,Solar Panel -Mono Crystalline 245w,Each,"2,821"
369,Street Light - Solar - 100w,Each,-
370,Street Light - Electric - 150 watts,Each,-
371,Switch - 1 gang - PVC,Each,56
372,Switch - 2 gang -PVC,Each,114
373,Switch - 3 gang - PVC,Each,173
374,Switch - 4 gang -PVC,Each,121
375,Switch - 1 gang - GI,Each,-
376,Switch - 2 gang - GI,Each,-
377,Switch - 3 gang - GI,Each,-
378,Switch - 4 gang - GI,Each,-
379,Washing machine Front Loader - 6kg,Each,-
380,Washing machine Front Loader - 8kg,Each,-
381,Washing machine Front Loader - 9kg,Each,-
382,Washing machine Front Loader - 12kg,Each,-
383,Washing machine Top Loader - 8kg,Each,-
384,Washing machine Top Loader - 9kg,Each,-
385,Washing machine Top Loader - 12kg,Each,-
386,Washing machine Top Loader -13kg,Each,-
387,Water Dispenser - 2 Outlets (Hot & Cold),Each,-
388,"Water Dispenser - 3 Outlets (Hot Cold & Room 
Tempreture)",Each,-
389,Welding rods 2.5mm (1kg),Each,-
390,Welding rods 5mm (1kg),Each,-
391,Welding Shields,Each,-
392,Welding machine 150A,Each,-
393,Welding machine 200A,Each,-
394,Welding machine 500A,Each,-
395,Microphone - Hand held wireless microphone,Each,-
396,Microphone - Hand held microphone,Each,-
397,Hand dryer - PVC,Each,-
398,Hand dryer - Stainless,Each,-
399,Battery - Solar Lithium ion Battery 12V/100AH,Each,"9,849"
400,Battery - Solar Lithium ion Battery 12V/200AH,Each,"10,160"
401,"Battery - Solar Lithium ion Battery 5.3KW/H 
48V/100AH",Each,"28,750"
402,Invetor-Hybrid 1.5KVA,Each,-
403,Invetor-Hybrid 2.5KVA,Each,"8,625"
404,Invetor-Hybrid 3.0 KVA,Each,"10,316"
405,Invetor-Hybrid 5.0KVA,Each,"30,398"
406,Invetor-Hybrid 8.0KVA,Each,"35,093"
407,Solar Panel -Mono Cystalline 35w,Each,788
408,Solar Panel -Mono Cystalline 50w,Each,"1,020"
409,Solar Panel -Mono Cystalline 100w,Each,"1,403"
410,Solar Panel -Mono Cystalline 350w,Each,"3,799"
411,Solar Panel -Mono Cystalline 415w,Each,"4,400"
412,Solar Panel -Mono Cystalline 550w,Each,"3,183"
413,Detector - Heat Detector,Each,922
414,Detector - Smoke Detector,Each,935
415,Fire Extinguisher - 1 kg DCP,Each,438
416,Fire Extinguisher - 2 kg DCP,Each,549
417,Fire Extinguisher - 4 kg DCP,Each,782
418,Fire extinguisher 4.5Kg DCP,Each,961
419,Fire Extinguisher - 6 kg DCP,Each,"1 ,438"
420,Fire Extinguisher - 9 kg DCP,Each,"1 ,455"
421,Fire Extinguisher - 2 Kg CO2,Each,"1 ,314"
422,Fire Extinguisher - 4.5 Kg CO2,Each,"2 ,645"
423,Fire Extinguisher - 5 Kg CO2,Each,"2 ,569"
424,Fire Extinguisher - 9 Kg CO2,Each,-
425,Fire Extinguisher - 1 litre Foam,Each,288
426,Fire Extinguisher - 2 litre Foam,Each,-
427,Fire Extinguisher - 6 litre Foam,Each,-
428,Fire Extinguisher - 9 litre Foam,Each,"1 ,572"
429,Fire Extinguisher - 1 litre Water (H20),Each,-
430,Fire Extinguisher - 2 litre Water (H20),Each,-
431,Fire Extinguisher - 3 litre Water (H20),Each,-
432,Fire Extinguisher - 6 litre Water (H20),Each,-
433,Fire Extinguisher - 9 litre Water (H20),Each,"1 ,370"
434,Fire Hose Reel 30 meters,Each,"5 ,188"
