Item,,UnitCost
Steel nails - 5 inches (Concrete Nails),Kg,86.00
,,
Steel window frame Overall size 1200 x 1100mm high complete with burglar bars,Each,1163.00
,,
Steel window frame Overall size 1200 x 500mm high complete with burglar bars,Each,892.00
,,
Steel window frame Overall size 1200 x 900mm high complete with burglar bars,Each,1317.00
,,
Steel window frame Overall size 1800 x 1100mm high complete with burglar bars,Each,2206.00
,,
Steel window frame Overall size 1800 x 900mm high complete with burglar bars,Each,2331.00
,,
Steel window frame Overall size 2400 x 1500mm high complete with burglar bars,Each,3627.00
,,
Steel window frame Overall size 3000 x 1500mm high complete with burglar bars,Each,4326.00
,,
Steel window frame Overall size 600 x 500mm high complete with burglar bars,Each,485.00
S-trap -1 ¼ inches (32mm) Diameter,Each,78.00
Swicth and Socket box 3 x 3 Inches,Each,22.00
Swicth and Socket box 3 x 6 Inches,Each,28.00
Tap - Bib Tap- 13mm Diameter chromium plated,Each,167.00
Tap - Garden Tap- 13mm Diameter chromium plated,Each,180.00
Tap - Garden tap19mm chromium plated,Each,203.00
Tap -Pillar Tap- 13mm Diameter Chrome Plated,Each,198.00
Tee - ½ inch (13mm) PVC,Each,12.00
Tee - PVC 19mm x 19mm x 13mm Diameter reducing Tee,Each,21.00
Tee adaptor 13mm (½ inch)Diameter GI,Each,20.00
Tee adaptor 25mm Diameter GI,Each,30.00
Tee adaptor 25mm Diameter PVC,Each,28.00
Tee UPVC 50mm,Each,126.00
Thinners (2.5ltrs),Each,224.00
Thinners (5ltrs),Each,406.00
Thinners (750mls),Each,77.00
Thread tape - 40m (medium),Each,20.00
Thread tape - 65mm (big),Each,27.00
Thread tape- 25mm(small),Each,12.00
Three lever mortice door lockset,Each,252.00
Tile Fix (20kg)-Wall and Floor Tile Adhesive,Each,73.00
Tiles - 330 x 330mm x 10mm Ceramic,Box,331.00
Tiles - 330 x 330mm x 10mm Porcelain,Box,316.00
Tiles - 350 x 250mm 10mm Ceramic,Box,297.00
Tiles - 350 x 250mm x 10mm Porcelain,Box,310.00
Tiles - 400 x 400mm x 10mm Porcelain,Box,333.00
Tiles - 500 x 500mm x 10mm Ceramic,Box,309.00
Tiles - 500 x 500mm x10mm Porcelain,Box,302.00
Tiles - 600 x 600mm x 10mm Ceramic Slippery,Box,314.00
Tiles - 600 x 600mm x 10mm Ceramic- Non Slippery,Box,313.00
Tiles - 600 x 600mm x 10mm non-slip porcelean,box,316.00
Tiles - 600 x 600mm x 10mm slippery porcelean,box,332.00
Tilling Grout 5kg,Each,90.00
Timber - Sawn softwood 100 x 25mm x 5m,Each,199.00
Timber - Sawn softwood 100 x 50mm x 5m,Each,230.00
Timber - Sawn softwood 150 x 50mm x 5m,Each,316.00
Timber - Sawn softwood 150 x 75mm x 5m,Each,293.00
Timber - Sawn softwood 200 x 50mm x5m,Each,314.00
Timber - Sawn softwood 225x25mm x 5m,Each,253.00
Timber - Sawn softwood 50 x 50mm x 5m,Each,93.00
